iter	Passed	Remaining
688	7626	3442
689	7636	3431
690	7644	3418
691	7651	3405
692	7657	3392
693	7662	3378
694	7669	3365
695	7681	3355
696	7694	3344
697	7703	3333
698	7712	3321
699	7721	3309
700	7728	3296
701	7736	3284
702	7744	3271
703	7750	3258
704	7772	3252
705	7787	3243
706	7797	3231
707	7804	3218
708	7810	3205
709	7820	3194
710	7827	3181
711	7833	3168
712	7838	3155
713	7844	3142
714	7851	3129
715	7855	3116
716	7862	3103
717	7867	3090
718	7894	3085
719	7916	3078
720	7931	3069
721	7978	3071
722	8027	3075
723	8046	3067
724	8053	3054
725	8061	3042
726	8067	3029
727	8073	3016
728	8079	3003
729	8095	2994
730	8112	2985
731	8120	2973
732	8128	2960
733	8137	2949
734	8144	2936
735	8150	2923
736	8157	2910
737	8163	2898
738	8170	2885
739	8177	2873
740	8183	2860
741	8198	2850
742	8207	2838
743	8221	2829
744	8230	2817
745	8236	2804
746	8246	2793
747	8251	2779
748	8257	2767
749	8264	2754
750	8270	2742
751	8276	2729
752	8282	2716
753	8288	2704
754	8321	2700
755	8339	2691
756	8388	2692
757	8402	2682
758	8415	2672
759	8429	2662
760	8448	2653
761	8457	2641
762	8467	2630
763	8474	2617
764	8481	2605
765	8487	2592
766	8499	2581
767	8512	2571
768	8521	2559
769	8527	2547
770	8533	2534
771	8542	2522
772	8549	2510
773	8556	2498
774	8563	2486
775	8568	2473
776	8574	2461
777	8596	2452
778	8611	2443
779	8619	2431
780	8625	2418
781	8639	2408
782	8666	2401
783	8673	2389
784	8679	2377
785	8684	2364
786	8690	2352
787	8696	2339
788	8703	2327
789	8710	2315
790	8716	2303
791	8792	2309
792	8806	2298
793	8850	2296
794	8877	2289
795	8894	2279
796	8899	2266
797	8904	2254
798	8913	2242
799	8927	2231
800	8941	2221
801	8948	2209
802	8954	2196
803	8961	2184
804	8968	2172
805	8975	2160
806	8982	2148
807	8988	2135
808	8995	2123
809	9003	2111
810	9028	2104
811	9039	2092
812	9045	2080
813	9052	2068
814	9060	2056
815	9072	2045
816	9079	2033
817	9084	2021
818	9091	2009
819	9097	1997
820	9103	1984
821	9108	1972
822	9114	1960
823	9177	1960
824	9205	1952
825	9234	1945
826	9269	1939
827	9286	1929
828	9292	1916
829	9299	1904
830	9310	1893
831	9328	1883
832	9338	1872
833	9347	1860
834	9355	1848
835	9363	1836
836	9370	1824
837	9377	1812
838	9384	1800
839	9406	1791
840	9419	1780
841	9429	1769
842	9436	1757
843	9443	1745
844	9452	1733
845	9476	1724
846	9485	1713
847	9492	1701
848	9499	1689
849	9506	1677
850	9512	1665
851	9518	1653
852	9576	1650
853	9593	1640
854	9610	1629
855	9627	1619
856	9648	1609
857	9675	1601
858	9693	1591
859	9706	1580
860	9718	1568
861	9727	1557
862	9735	1545
863	9744	1533
864	9752	1522
865	9760	1510
866	9772	1499
867	9793	1489
868	9819	1480
869	9854	1472
870	9868	1461
871	9882	1450
872	9896	1439
873	9905	1427
874	9911	1415
875	9918	1403
876	9926	1392
877	9932	1380
878	9938	1368
879	9945	1356
880	9953	1344
881	9964	1333
882	9973	1321
883	9980	1309
884	9986	1297
885	9994	1285
886	10000	1274
887	10007	1262
888	10021	1251
889	10031	1239
890	10037	1227
891	10048	1216
892	10056	1204
893	10065	1193
894	10073	1181
895	10079	1169
896	10085	1158
897	10091	1146
898	10096	1134
899	10103	1122
900	10109	1110
901	10115	1098
902	10123	1087
903	10128	1075
904	10135	1063
905	10179	1056
906	10201	1045
907	10248	1038
908	10262	1027
909	10278	1016
910	10293	1005
911	10298	993
912	10305	981
913	10310	970
914	10316	958
915	10322	946
916	10334	935
917	10349	924
918	10356	912
919	10364	901
920	10373	889
921	10386	878
922	10404	867
923	10437	858
924	10455	847
925	10465	836
926	10471	824
927	10484	813
928	10490	801
929	10496	790
930	10501	778
931	10507	766
932	10513	754
933	10518	743
934	10524	731
935	10529	719
936	10535	708
937	10570	698
938	10584	687
939	10596	676
940	10617	665
941	10635	654
942	10662	644
943	10690	634
944	10700	622
945	10716	611
946	10723	600
947	10729	588
948	10735	576
949	10742	565
950	10754	554
951	10768	542
952	10776	531
953	10784	520
954	10793	508
955	10806	497
956	10817	486
957	10823	474
958	10842	463
959	10861	452
960	10871	441
961	10876	429
962	10885	418
963	10895	406
964	10903	395
965	10910	383
966	10915	372
967	10921	361
968	10926	349
969	10932	338
970	10938	326
971	10944	315
972	10950	303
973	10956	292
974	10978	281
975	10993	270
976	11004	259
977	11012	247
978	11022	236
979	11031	225
980	11039	213
981	11067	202
982	11097	191
983	11107	180
984	11120	169
985	11127	157
986	11133	146
987	11139	135
988	11144	123
989	11151	112
990	11160	101
991	11173	90
992	11183	78
993	11191	67
994	11197	56
995	11203	44
996	11210	33
997	11219	22
998	11224	11
999	11241	0
